"outer_iter","noise_sigma","method","reject_rate","source_dir"
4,1,"layer1_pool2x2_gaussian5",0.084,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
5,0,"layer1_pool2x2_gaussian5",0.206,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
5,0.2,"layer1_pool2x2_gaussian5",0.176,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
5,0.4,"layer1_pool2x2_gaussian5",0.13,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
5,0.6,"layer1_pool2x2_gaussian5",0.124,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
5,0.8,"layer1_pool2x2_gaussian5",0.118,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
5,1,"layer1_pool2x2_gaussian5",0.09,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
6,0,"layer1_pool2x2_gaussian5",0.214,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
6,0.2,"layer1_pool2x2_gaussian5",0.18,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
6,0.4,"layer1_pool2x2_gaussian5",0.162,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
6,0.6,"layer1_pool2x2_gaussian5",0.11,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
6,0.8,"layer1_pool2x2_gaussian5",0.098,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
6,1,"layer1_pool2x2_gaussian5",0.068,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
7,0,"layer1_pool2x2_gaussian5",0.2,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
7,0.2,"layer1_pool2x2_gaussian5",0.166,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
7,0.4,"layer1_pool2x2_gaussian5",0.158,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
7,0.6,"layer1_pool2x2_gaussian5",0.116,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
7,0.8,"layer1_pool2x2_gaussian5",0.074,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
7,1,"layer1_pool2x2_gaussian5",0.074,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
8,0,"layer1_pool2x2_gaussian5",0.19,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
8,0.2,"layer1_pool2x2_gaussian5",0.174,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
8,0.4,"layer1_pool2x2_gaussian5",0.132,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
8,0.6,"layer1_pool2x2_gaussian5",0.096,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
8,0.8,"layer1_pool2x2_gaussian5",0.104,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
8,1,"layer1_pool2x2_gaussian5",0.086,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
9,0,"layer1_pool2x2_gaussian5",0.258,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
9,0.2,"layer1_pool2x2_gaussian5",0.206,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
9,0.4,"layer1_pool2x2_gaussian5",0.186,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
9,0.6,"layer1_pool2x2_gaussian5",0.126,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
9,0.8,"layer1_pool2x2_gaussian5",0.102,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
9,1,"layer1_pool2x2_gaussian5",0.07,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
10,0,"layer1_pool2x2_gaussian5",0.236,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
10,0.2,"layer1_pool2x2_gaussian5",0.186,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
10,0.4,"layer1_pool2x2_gaussian5",0.154,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
10,0.6,"layer1_pool2x2_gaussian5",0.162,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
10,0.8,"layer1_pool2x2_gaussian5",0.11,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
10,1,"layer1_pool2x2_gaussian5",0.064,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
1,0,"layer2_gaussian5",0.942,"faster_mnist_cnn_layer2_gaussian5_power"
1,0.2,"layer2_gaussian5",0.79,"faster_mnist_cnn_layer2_gaussian5_power"
1,0.4,"layer2_gaussian5",0.286,"faster_mnist_cnn_layer2_gaussian5_power"
1,0.6,"layer2_gaussian5",0.124,"faster_mnist_cnn_layer2_gaussian5_power"
1,0.8,"layer2_gaussian5",0.074,"faster_mnist_cnn_layer2_gaussian5_power"
1,1,"layer2_gaussian5",0.07,"faster_mnist_cnn_layer2_gaussian5_power"
2,0,"layer2_gaussian5",0.932,"faster_mnist_cnn_layer2_gaussian5_power"
2,0.2,"layer2_gaussian5",0.778,"faster_mnist_cnn_layer2_gaussian5_power"
2,0.4,"layer2_gaussian5",0.342,"faster_mnist_cnn_layer2_gaussian5_power"
2,0.6,"layer2_gaussian5",0.108,"faster_mnist_cnn_layer2_gaussian5_power"
2,0.8,"layer2_gaussian5",0.062,"faster_mnist_cnn_layer2_gaussian5_power"
2,1,"layer2_gaussian5",0.062,"faster_mnist_cnn_layer2_gaussian5_power"
3,0,"layer2_gaussian5",0.946,"faster_mnist_cnn_layer2_gaussian5_power"
3,0.2,"layer2_gaussian5",0.73,"faster_mnist_cnn_layer2_gaussian5_power"
3,0.4,"layer2_gaussian5",0.352,"faster_mnist_cnn_layer2_gaussian5_power"
3,0.6,"layer2_gaussian5",0.142,"faster_mnist_cnn_layer2_gaussian5_power"
3,0.8,"layer2_gaussian5",0.07,"faster_mnist_cnn_layer2_gaussian5_power"
3,1,"layer2_gaussian5",0.08,"faster_mnist_cnn_layer2_gaussian5_power"
4,0,"layer2_gaussian5",0.912,"faster_mnist_cnn_layer2_gaussian5_power"
4,0.2,"layer2_gaussian5",0.784,"faster_mnist_cnn_layer2_gaussian5_power"
4,0.4,"layer2_gaussian5",0.344,"faster_mnist_cnn_layer2_gaussian5_power"
4,0.6,"layer2_gaussian5",0.088,"faster_mnist_cnn_layer2_gaussian5_power"
4,0.8,"layer2_gaussian5",0.076,"faster_mnist_cnn_layer2_gaussian5_power"
4,1,"layer2_gaussian5",0.066,"faster_mnist_cnn_layer2_gaussian5_power"
5,0,"layer2_gaussian5",0.928,"faster_mnist_cnn_layer2_gaussian5_power"
5,0.2,"layer2_gaussian5",0.76,"faster_mnist_cnn_layer2_gaussian5_power"
5,0.4,"layer2_gaussian5",0.332,"faster_mnist_cnn_layer2_gaussian5_power"
5,0.6,"layer2_gaussian5",0.15,"faster_mnist_cnn_layer2_gaussian5_power"
5,0.8,"layer2_gaussian5",0.092,"faster_mnist_cnn_layer2_gaussian5_power"
5,1,"layer2_gaussian5",0.058,"faster_mnist_cnn_layer2_gaussian5_power"
6,0,"layer2_gaussian5",0.938,"faster_mnist_cnn_layer2_gaussian5_power"
6,0.2,"layer2_gaussian5",0.766,"faster_mnist_cnn_layer2_gaussian5_power"
6,0.4,"layer2_gaussian5",0.354,"faster_mnist_cnn_layer2_gaussian5_power"
6,0.6,"layer2_gaussian5",0.098,"faster_mnist_cnn_layer2_gaussian5_power"
6,0.8,"layer2_gaussian5",0.064,"faster_mnist_cnn_layer2_gaussian5_power"
6,1,"layer2_gaussian5",0.084,"faster_mnist_cnn_layer2_gaussian5_power"
7,0,"layer2_gaussian5",0.92,"faster_mnist_cnn_layer2_gaussian5_power"
7,0.2,"layer2_gaussian5",0.736,"faster_mnist_cnn_layer2_gaussian5_power"
7,0.4,"layer2_gaussian5",0.358,"faster_mnist_cnn_layer2_gaussian5_power"
7,0.6,"layer2_gaussian5",0.132,"faster_mnist_cnn_layer2_gaussian5_power"
7,0.8,"layer2_gaussian5",0.07,"faster_mnist_cnn_layer2_gaussian5_power"
7,1,"layer2_gaussian5",0.052,"faster_mnist_cnn_layer2_gaussian5_power"
8,0,"layer2_gaussian5",0.93,"faster_mnist_cnn_layer2_gaussian5_power"
8,0.2,"layer2_gaussian5",0.774,"faster_mnist_cnn_layer2_gaussian5_power"
8,0.4,"layer2_gaussian5",0.348,"faster_mnist_cnn_layer2_gaussian5_power"
8,0.6,"layer2_gaussian5",0.128,"faster_mnist_cnn_layer2_gaussian5_power"
8,0.8,"layer2_gaussian5",0.106,"faster_mnist_cnn_layer2_gaussian5_power"
8,1,"layer2_gaussian5",0.06,"faster_mnist_cnn_layer2_gaussian5_power"
9,0,"layer2_gaussian5",0.95,"faster_mnist_cnn_layer2_gaussian5_power"
9,0.2,"layer2_gaussian5",0.798,"faster_mnist_cnn_layer2_gaussian5_power"
9,0.4,"layer2_gaussian5",0.336,"faster_mnist_cnn_layer2_gaussian5_power"
9,0.6,"layer2_gaussian5",0.112,"faster_mnist_cnn_layer2_gaussian5_power"
9,0.8,"layer2_gaussian5",0.084,"faster_mnist_cnn_layer2_gaussian5_power"
9,1,"layer2_gaussian5",0.056,"faster_mnist_cnn_layer2_gaussian5_power"
10,0,"layer2_gaussian5",0.91,"faster_mnist_cnn_layer2_gaussian5_power"
10,0.2,"layer2_gaussian5",0.768,"faster_mnist_cnn_layer2_gaussian5_power"
10,0.4,"layer2_gaussian5",0.362,"faster_mnist_cnn_layer2_gaussian5_power"
10,0.6,"layer2_gaussian5",0.084,"faster_mnist_cnn_layer2_gaussian5_power"
10,0.8,"layer2_gaussian5",0.098,"faster_mnist_cnn_layer2_gaussian5_power"
10,1,"layer2_gaussian5",0.078,"faster_mnist_cnn_layer2_gaussian5_power"
1,0,"multilayer_single_gaussian",1,"faster_mnist_cnn_multilayer_single_gaussian_power"
1,0.2,"multilayer_single_gaussian",1,"faster_mnist_cnn_multilayer_single_gaussian_power"
1,0.4,"multilayer_single_gaussian",0.9,"faster_mnist_cnn_multilayer_single_gaussian_power"
1,0.6,"multilayer_single_gaussian",0.348,"faster_mnist_cnn_multilayer_single_gaussian_power"
1,0.8,"multilayer_single_gaussian",0.15,"faster_mnist_cnn_multilayer_single_gaussian_power"
1,1,"multilayer_single_gaussian",0.086,"faster_mnist_cnn_multilayer_single_gaussian_power"
2,0,"multilayer_single_gaussian",1,"faster_mnist_cnn_multilayer_single_gaussian_power"
2,0.2,"multilayer_single_gaussian",1,"faster_mnist_cnn_multilayer_single_gaussian_power"
2,0.4,"multilayer_single_gaussian",0.91,"faster_mnist_cnn_multilayer_single_gaussian_power"
2,0.6,"multilayer_single_gaussian",0.314,"faster_mnist_cnn_multilayer_single_gaussian_power"
2,0.8,"multilayer_single_gaussian",0.092,"faster_mnist_cnn_multilayer_single_gaussian_power"
2,1,"multilayer_single_gaussian",0.08,"faster_mnist_cnn_multilayer_single_gaussian_power"
3,0,"multilayer_single_gaussian",1,"faster_mnist_cnn_multilayer_single_gaussian_power"
3,0.2,"multilayer_single_gaussian",1,"faster_mnist_cnn_multilayer_single_gaussian_power"
3,0.4,"multilayer_single_gaussian",0.948,"faster_mnist_cnn_multilayer_single_gaussian_power"
3,0.6,"multilayer_single_gaussian",0.366,"faster_mnist_cnn_multilayer_single_gaussian_power"
3,0.8,"multilayer_single_gaussian",0.088,"faster_mnist_cnn_multilayer_single_gaussian_power"
3,1,"multilayer_single_gaussian",0.086,"faster_mnist_cnn_multilayer_single_gaussian_power"
4,0,"multilayer_single_gaussian",1,"faster_mnist_cnn_multilayer_single_gaussian_power"
4,0.2,"multilayer_single_gaussian",1,"faster_mnist_cnn_multilayer_single_gaussian_power"
4,0.4,"multilayer_single_gaussian",0.932,"faster_mnist_cnn_multilayer_single_gaussian_power"
4,0.6,"multilayer_single_gaussian",0.278,"faster_mnist_cnn_multilayer_single_gaussian_power"
4,0.8,"multilayer_single_gaussian",0.146,"faster_mnist_cnn_multilayer_single_gaussian_power"
4,1,"multilayer_single_gaussian",0.062,"faster_mnist_cnn_multilayer_single_gaussian_power"
5,0,"multilayer_single_gaussian",1,"faster_mnist_cnn_multilayer_single_gaussian_power"
5,0.2,"multilayer_single_gaussian",1,"faster_mnist_cnn_multilayer_single_gaussian_power"
5,0.4,"multilayer_single_gaussian",0.956,"faster_mnist_cnn_multilayer_single_gaussian_power"
5,0.6,"multilayer_single_gaussian",0.366,"faster_mnist_cnn_multilayer_single_gaussian_power"
5,0.8,"multilayer_single_gaussian",0.144,"faster_mnist_cnn_multilayer_single_gaussian_power"
5,1,"multilayer_single_gaussian",0.072,"faster_mnist_cnn_multilayer_single_gaussian_power"
6,0,"multilayer_single_gaussian",1,"faster_mnist_cnn_multilayer_single_gaussian_power"
6,0.2,"multilayer_single_gaussian",1,"faster_mnist_cnn_multilayer_single_gaussian_power"
6,0.4,"multilayer_single_gaussian",0.94,"faster_mnist_cnn_multilayer_single_gaussian_power"
6,0.6,"multilayer_single_gaussian",0.358,"faster_mnist_cnn_multilayer_single_gaussian_power"
6,0.8,"multilayer_single_gaussian",0.148,"faster_mnist_cnn_multilayer_single_gaussian_power"
6,1,"multilayer_single_gaussian",0.128,"faster_mnist_cnn_multilayer_single_gaussian_power"
7,0,"multilayer_single_gaussian",1,"faster_mnist_cnn_multilayer_single_gaussian_power"
7,0.2,"multilayer_single_gaussian",1,"faster_mnist_cnn_multilayer_single_gaussian_power"
7,0.4,"multilayer_single_gaussian",0.916,"faster_mnist_cnn_multilayer_single_gaussian_power"
7,0.6,"multilayer_single_gaussian",0.31,"faster_mnist_cnn_multilayer_single_gaussian_power"
7,0.8,"multilayer_single_gaussian",0.118,"faster_mnist_cnn_multilayer_single_gaussian_power"
7,1,"multilayer_single_gaussian",0.1,"faster_mnist_cnn_multilayer_single_gaussian_power"
8,0,"multilayer_single_gaussian",1,"faster_mnist_cnn_multilayer_single_gaussian_power"
8,0.2,"multilayer_single_gaussian",1,"faster_mnist_cnn_multilayer_single_gaussian_power"
8,0.4,"multilayer_single_gaussian",0.946,"faster_mnist_cnn_multilayer_single_gaussian_power"
8,0.6,"multilayer_single_gaussian",0.38,"faster_mnist_cnn_multilayer_single_gaussian_power"
8,0.8,"multilayer_single_gaussian",0.206,"faster_mnist_cnn_multilayer_single_gaussian_power"
8,1,"multilayer_single_gaussian",0.112,"faster_mnist_cnn_multilayer_single_gaussian_power"
9,0,"multilayer_single_gaussian",1,"faster_mnist_cnn_multilayer_single_gaussian_power"
9,0.2,"multilayer_single_gaussian",1,"faster_mnist_cnn_multilayer_single_gaussian_power"
9,0.4,"multilayer_single_gaussian",0.938,"faster_mnist_cnn_multilayer_single_gaussian_power"
9,0.6,"multilayer_single_gaussian",0.444,"faster_mnist_cnn_multilayer_single_gaussian_power"
9,0.8,"multilayer_single_gaussian",0.166,"faster_mnist_cnn_multilayer_single_gaussian_power"
9,1,"multilayer_single_gaussian",0.092,"faster_mnist_cnn_multilayer_single_gaussian_power"
10,0,"multilayer_single_gaussian",1,"faster_mnist_cnn_multilayer_single_gaussian_power"
10,0.2,"multilayer_single_gaussian",1,"faster_mnist_cnn_multilayer_single_gaussian_power"
10,0.4,"multilayer_single_gaussian",0.92,"faster_mnist_cnn_multilayer_single_gaussian_power"
10,0.6,"multilayer_single_gaussian",0.328,"faster_mnist_cnn_multilayer_single_gaussian_power"
10,0.8,"multilayer_single_gaussian",0.158,"faster_mnist_cnn_multilayer_single_gaussian_power"
10,1,"multilayer_single_gaussian",0.062,"faster_mnist_cnn_multilayer_single_gaussian_power"
1,0,"multilayer_gaussian15",1,"faster_mnist_cnn_multilayer_gaussian15_power"
1,0.2,"multilayer_gaussian15",1,"faster_mnist_cnn_multilayer_gaussian15_power"
1,0.4,"multilayer_gaussian15",0.848,"faster_mnist_cnn_multilayer_gaussian15_power"
1,0.6,"multilayer_gaussian15",0.282,"faster_mnist_cnn_multilayer_gaussian15_power"
1,0.8,"multilayer_gaussian15",0.162,"faster_mnist_cnn_multilayer_gaussian15_power"
1,1,"multilayer_gaussian15",0.078,"faster_mnist_cnn_multilayer_gaussian15_power"
2,0,"multilayer_gaussian15",1,"faster_mnist_cnn_multilayer_gaussian15_power"
2,0.2,"multilayer_gaussian15",1,"faster_mnist_cnn_multilayer_gaussian15_power"
2,0.4,"multilayer_gaussian15",0.868,"faster_mnist_cnn_multilayer_gaussian15_power"
2,0.6,"multilayer_gaussian15",0.23,"faster_mnist_cnn_multilayer_gaussian15_power"
2,0.8,"multilayer_gaussian15",0.118,"faster_mnist_cnn_multilayer_gaussian15_power"
2,1,"multilayer_gaussian15",0.086,"faster_mnist_cnn_multilayer_gaussian15_power"
3,0,"multilayer_gaussian15",1,"faster_mnist_cnn_multilayer_gaussian15_power"
3,0.2,"multilayer_gaussian15",1,"faster_mnist_cnn_multilayer_gaussian15_power"
3,0.4,"multilayer_gaussian15",0.906,"faster_mnist_cnn_multilayer_gaussian15_power"
3,0.6,"multilayer_gaussian15",0.27,"faster_mnist_cnn_multilayer_gaussian15_power"
3,0.8,"multilayer_gaussian15",0.13,"faster_mnist_cnn_multilayer_gaussian15_power"
3,1,"multilayer_gaussian15",0.106,"faster_mnist_cnn_multilayer_gaussian15_power"
4,0,"multilayer_gaussian15",1,"faster_mnist_cnn_multilayer_gaussian15_power"
4,0.2,"multilayer_gaussian15",1,"faster_mnist_cnn_multilayer_gaussian15_power"
4,0.4,"multilayer_gaussian15",0.862,"faster_mnist_cnn_multilayer_gaussian15_power"
4,0.6,"multilayer_gaussian15",0.22,"faster_mnist_cnn_multilayer_gaussian15_power"
4,0.8,"multilayer_gaussian15",0.144,"faster_mnist_cnn_multilayer_gaussian15_power"
4,1,"multilayer_gaussian15",0.072,"faster_mnist_cnn_multilayer_gaussian15_power"
5,0,"multilayer_gaussian15",1,"faster_mnist_cnn_multilayer_gaussian15_power"
5,0.2,"multilayer_gaussian15",1,"faster_mnist_cnn_multilayer_gaussian15_power"
5,0.4,"multilayer_gaussian15",0.912,"faster_mnist_cnn_multilayer_gaussian15_power"
5,0.6,"multilayer_gaussian15",0.32,"faster_mnist_cnn_multilayer_gaussian15_power"
5,0.8,"multilayer_gaussian15",0.136,"faster_mnist_cnn_multilayer_gaussian15_power"
5,1,"multilayer_gaussian15",0.098,"faster_mnist_cnn_multilayer_gaussian15_power"
6,0,"multilayer_gaussian15",1,"faster_mnist_cnn_multilayer_gaussian15_power"
6,0.2,"multilayer_gaussian15",1,"faster_mnist_cnn_multilayer_gaussian15_power"
6,0.4,"multilayer_gaussian15",0.878,"faster_mnist_cnn_multilayer_gaussian15_power"
6,0.6,"multilayer_gaussian15",0.256,"faster_mnist_cnn_multilayer_gaussian15_power"
6,0.8,"multilayer_gaussian15",0.142,"faster_mnist_cnn_multilayer_gaussian15_power"
6,1,"multilayer_gaussian15",0.108,"faster_mnist_cnn_multilayer_gaussian15_power"
7,0,"multilayer_gaussian15",1,"faster_mnist_cnn_multilayer_gaussian15_power"
7,0.2,"multilayer_gaussian15",1,"faster_mnist_cnn_multilayer_gaussian15_power"
7,0.4,"multilayer_gaussian15",0.878,"faster_mnist_cnn_multilayer_gaussian15_power"
7,0.6,"multilayer_gaussian15",0.31,"faster_mnist_cnn_multilayer_gaussian15_power"
7,0.8,"multilayer_gaussian15",0.11,"faster_mnist_cnn_multilayer_gaussian15_power"
7,1,"multilayer_gaussian15",0.1,"faster_mnist_cnn_multilayer_gaussian15_power"
8,0,"multilayer_gaussian15",1,"faster_mnist_cnn_multilayer_gaussian15_power"
8,0.2,"multilayer_gaussian15",1,"faster_mnist_cnn_multilayer_gaussian15_power"
8,0.4,"multilayer_gaussian15",0.868,"faster_mnist_cnn_multilayer_gaussian15_power"
8,0.6,"multilayer_gaussian15",0.318,"faster_mnist_cnn_multilayer_gaussian15_power"
8,0.8,"multilayer_gaussian15",0.162,"faster_mnist_cnn_multilayer_gaussian15_power"
8,1,"multilayer_gaussian15",0.128,"faster_mnist_cnn_multilayer_gaussian15_power"
9,0,"multilayer_gaussian15",1,"faster_mnist_cnn_multilayer_gaussian15_power"
9,0.2,"multilayer_gaussian15",1,"faster_mnist_cnn_multilayer_gaussian15_power"
9,0.4,"multilayer_gaussian15",0.886,"faster_mnist_cnn_multilayer_gaussian15_power"
9,0.6,"multilayer_gaussian15",0.382,"faster_mnist_cnn_multilayer_gaussian15_power"
9,0.8,"multilayer_gaussian15",0.144,"faster_mnist_cnn_multilayer_gaussian15_power"
9,1,"multilayer_gaussian15",0.112,"faster_mnist_cnn_multilayer_gaussian15_power"
10,0,"multilayer_gaussian15",1,"faster_mnist_cnn_multilayer_gaussian15_power"
10,0.2,"multilayer_gaussian15",1,"faster_mnist_cnn_multilayer_gaussian15_power"
10,0.4,"multilayer_gaussian15",0.852,"faster_mnist_cnn_multilayer_gaussian15_power"
10,0.6,"multilayer_gaussian15",0.264,"faster_mnist_cnn_multilayer_gaussian15_power"
10,0.8,"multilayer_gaussian15",0.168,"faster_mnist_cnn_multilayer_gaussian15_power"
10,1,"multilayer_gaussian15",0.072,"faster_mnist_cnn_multilayer_gaussian15_power"
