sample_size,scenario,method,reject_rate,reject_se,q_median,cond_raw_median,cond_reg_median,ridge_lambda_median,runtime_sec,n_outer,n_inner,b_boot,representation
30,power,GEXP-5,0.1,0.0337526370277807,5.0,20657750.259361304,1658581.9923637211,5.409189253543197e-07,0.0726189613342285,4,20,100,DINOv2
30,power,NEW-MMMD,0.0125,0.0124999999999999,3.0,680.1004365098556,679.0753394812504,1.512226936243317e-06,0.0730412006378173,4,20,100,DINOv2
60,power,GEXP-5,0.1875,0.0439135730581579,5.0,9491035.930661391,1271526.4051216026,4.891405587562061e-07,0.2082669734954834,4,20,100,DINOv2
60,power,NEW-MMMD,0.15,0.0401736736014135,4.0,26461.762380926735,25111.069048276742,1.3883818287241817e-06,0.2212889194488525,4,20,100,DINOv2
90,power,GEXP-5,0.5625,0.0558131772925863,5.0,5071606.705169813,1082829.7206484638,4.70864591769763e-07,0.4352247714996338,4,20,100,DINOv2
90,power,NEW-MMMD,0.5375,0.0560959564417429,4.0,21472.060674651217,20541.891632058898,1.2684150233272655e-06,0.4610559940338135,4,20,100,DINOv2
120,power,GEXP-5,0.9,0.0337526370277807,5.0,4302789.110112231,1000066.9933143964,4.581061923267536e-07,0.7704856395721436,4,20,100,DINOv2
120,power,NEW-MMMD,0.9125,0.0317911997217285,4.0,19325.888057505657,18620.414026519917,1.0911978044250283e-06,0.7963929176330566,4,20,100,DINOv2
150,power,GEXP-5,0.9625,0.021374819563973,5.0,3406654.708642182,913403.4862172191,4.524694213216755e-07,1.1740972995758057,4,20,100,DINOv2
150,power,NEW-MMMD,0.975,0.0175654292232631,4.0,16248.329753283417,15751.031634813153,9.757251183534326e-07,1.22918701171875,4,20,100,DINOv2
30,type1_a,GEXP-5,0.05,0.0245207223136841,5.0,32379589.301098675,1798575.168945381,5.063312433299682e-07,0.0689570903778076,4,20,100,DINOv2
30,type1_a,NEW-MMMD,0.0125,0.0125,3.0,853.2608931634584,851.6855801126592,1.4988172829776937e-06,0.072484016418457,4,20,100,DINOv2
60,type1_a,GEXP-5,0.0,0.0,5.0,12279674.014316073,1401406.6633254143,4.539044219741521e-07,0.2108988761901855,4,20,100,DINOv2
60,type1_a,NEW-MMMD,0.0,0.0,4.0,31451.131622638874,29610.41291259673,1.3062873384254923e-06,0.2202620506286621,4,20,100,DINOv2
90,type1_a,GEXP-5,0.0375,0.021374819563973,5.0,7555311.629176583,1225237.016331453,4.295934619643808e-07,0.4341199398040771,4,20,100,DINOv2
90,type1_a,NEW-MMMD,0.0,0.0,4.0,24303.534704075195,23144.035838397984,1.222199417757982e-06,0.4592959880828857,4,20,100,DINOv2
120,type1_a,GEXP-5,0.025,0.0175654292232631,5.0,6379073.0433778735,1182627.7986072926,4.237203970565138e-07,0.7463302612304688,4,20,100,DINOv2
120,type1_a,NEW-MMMD,0.0,0.0,4.0,22718.811342538596,21717.11853409871,1.1590555565456192e-06,0.8119070529937744,4,20,100,DINOv2
150,type1_a,GEXP-5,0.0125,0.0125,5.0,5381625.472442932,1096093.8852144056,4.169109580957108e-07,1.1842079162597656,4,20,100,DINOv2
150,type1_a,NEW-MMMD,0.0,0.0,4.0,20972.849885627467,20135.66129298607,1.0432765644105155e-06,1.230878829956055,4,20,100,DINOv2
30,type1_b,GEXP-5,0.025,0.0175654292232631,5.0,12420021.802973988,1539263.40171019,5.115369295090148e-07,0.0721511840820312,4,20,100,DINOv2
30,type1_b,NEW-MMMD,0.0125,0.0124999999999999,4.0,26087.863772884648,25051.284033657634,1.4409025094526291e-06,0.0749847888946533,4,20,100,DINOv2
60,type1_b,GEXP-5,0.0,0.0,5.0,3018181.142849666,975457.3227385766,4.552417949076835e-07,0.2060129642486572,4,20,100,DINOv2
60,type1_b,NEW-MMMD,0.0,0.0,4.0,19824.73433878197,19046.134941668828,1.2754795283524828e-06,0.2184629440307617,4,20,100,DINOv2
90,type1_b,GEXP-5,0.025,0.0175654292232631,5.0,2471608.353513633,843501.6017345826,4.440460486853427e-07,0.4353458881378174,4,20,100,DINOv2
90,type1_b,NEW-MMMD,0.0125,0.0124999999999999,4.0,17208.076819943566,16606.45812886209,1.1743737486391475e-06,0.4631099700927734,4,20,100,DINOv2
120,type1_b,GEXP-5,0.0375,0.021374819563973,5.0,2524622.286670516,865076.964147727,4.190322752575178e-07,0.7671210765838623,4,20,100,DINOv2
120,type1_b,NEW-MMMD,0.025,0.0175654292232631,4.0,15598.322079323529,15112.428013655495,1.0078991540659473e-06,0.8066329956054688,4,20,100,DINOv2
150,type1_b,GEXP-5,0.025,0.0175654292232631,5.0,2081499.3650061225,771448.8951479369,4.230609615127938e-07,1.1728389263153076,4,20,100,DINOv2
150,type1_b,NEW-MMMD,0.0,0.0,4.0,12161.109830328678,11867.738458841,4.924655278453947e-07,1.2402868270874023,4,20,100,DINOv2
30,power,GEXP-5,0.05,0.0245207223136842,5.0,45017096.140623555,1873064.6765505136,4.551445840715405e-07,0.0671360492706298,4,20,100,CLIP
30,power,NEW-MMMD,0.0125,0.0124999999999999,3.0,1222.886702766024,1219.2113337842898,1.395554480497304e-06,0.0681798458099365,4,20,100,CLIP
60,power,GEXP-5,0.0875,0.0317911997217285,5.0,18201798.472803544,1467038.1897559485,3.9772736702206116e-07,0.1795158386230468,4,20,100,CLIP
60,power,NEW-MMMD,0.1,0.0337526370277807,4.0,31176.58993570663,29430.14188060839,1.1607519219690404e-06,0.1983680725097656,4,20,100,CLIP
90,power,GEXP-5,0.225,0.0469816823987036,5.0,13095466.24087335,1287800.7656683128,3.816580436536058e-07,0.3344216346740722,4,20,100,CLIP
90,power,NEW-MMMD,0.15,0.0401736736014135,4.0,27410.491130956587,25943.27570164538,1.0920330099729148e-06,0.3553361892700195,4,20,100,CLIP
120,power,GEXP-5,0.475,0.0561840330487252,5.0,12645636.102087231,1241005.1764778472,3.671709799246345e-07,0.5637660026550293,4,20,100,CLIP
120,power,NEW-MMMD,0.4,0.055117825460955,4.0,26527.85132204312,25121.121135637302,9.933669386676564e-07,0.6233179569244385,4,20,100,CLIP
150,power,GEXP-5,0.725,0.0502367811191679,5.0,10293804.854982976,1185921.2404073477,3.629566344631636e-07,0.8690271377563477,4,20,100,CLIP
150,power,NEW-MMMD,0.7,0.0515580046947248,4.0,23376.29435551723,22357.073817246084,8.880568971340055e-07,0.9402530193328856,4,20,100,CLIP
30,type1_a,GEXP-5,0.0375,0.021374819563973,5.0,45187547.8794128,1911451.8469328445,4.546417190233853e-07,0.0633032321929931,4,20,100,CLIP
30,type1_a,NEW-MMMD,0.0,0.0,3.0,1049.7735617056028,1047.5692193991804,1.406210353216443e-06,0.0662939548492431,4,20,100,CLIP
60,type1_a,GEXP-5,0.0125,0.0125,5.0,17032880.47248482,1450523.9294797676,3.921666844264379e-07,0.1773078441619873,4,20,100,CLIP
60,type1_a,NEW-MMMD,0.0,0.0,4.0,29237.634052662503,27680.920416039957,1.1319571330396735e-06,0.1951050758361816,4,20,100,CLIP
90,type1_a,GEXP-5,0.0,0.0,5.0,15711545.935072932,1378335.051260072,3.595820353337019e-07,0.329535961151123,4,20,100,CLIP
90,type1_a,NEW-MMMD,0.0,0.0,4.0,31130.911243283328,29352.74317307697,1.0439342007059414e-06,0.4367489814758301,4,20,100,CLIP
120,type1_a,GEXP-5,0.0,0.0,5.0,12778555.78473965,1297291.0568691026,3.598216857374742e-07,0.5757980346679688,4,20,100,CLIP
120,type1_a,NEW-MMMD,0.0,0.0,4.0,28350.777582613697,26781.040304573464,1.0114203068790556e-06,0.5939090251922607,4,20,100,CLIP
150,type1_a,GEXP-5,0.025,0.0175654292232631,5.0,11026071.318972263,1243577.3610101976,3.4980522244975577e-07,0.842045783996582,4,20,100,CLIP
150,type1_a,NEW-MMMD,0.0,0.0,4.0,24876.906330777376,23718.65142148974,9.063394862389364e-07,0.8889117240905762,4,20,100,CLIP
30,type1_b,GEXP-5,0.025,0.0175654292232631,5.0,53539639.2612692,1893782.2165666996,4.448647477321939e-07,0.0646200180053711,4,20,100,CLIP
30,type1_b,NEW-MMMD,0.0,0.0,3.0,1123.0977257332622,1120.239268781656,1.3757933283224222e-06,0.0665867328643798,4,20,100,CLIP
60,type1_b,GEXP-5,0.0125,0.0124999999999999,5.0,18205017.221461818,1473452.7636190024,3.866359639370741e-07,0.162524938583374,4,20,100,CLIP
60,type1_b,NEW-MMMD,0.0,0.0,4.0,31173.054817904263,29396.48321246777,1.127161746683171e-06,0.1705930233001709,4,20,100,CLIP
90,type1_b,GEXP-5,0.0,0.0,5.0,14095600.997161984,1342956.82751923,3.600199722992826e-07,0.3696470260620117,4,20,100,CLIP
90,type1_b,NEW-MMMD,0.0,0.0,4.0,30697.672975243742,28925.57238961188,1.0264763760338454e-06,0.3570399284362793,4,20,100,CLIP
120,type1_b,GEXP-5,0.025,0.0175654292232631,5.0,12368643.089815369,1265277.515632844,3.420756998225971e-07,0.5371241569519043,4,20,100,CLIP
120,type1_b,NEW-MMMD,0.0,0.0,4.0,28361.272028993622,26729.63314328345,9.64586847674058e-07,0.5808892250061035,4,20,100,CLIP
150,type1_b,GEXP-5,0.025,0.0175654292232631,5.0,9809374.674521076,1202264.6852808811,3.438265258964065e-07,0.8575360774993896,4,20,100,CLIP
150,type1_b,NEW-MMMD,0.0375,0.021374819563973,4.0,26390.889444271554,25081.38698093176,8.505446849280288e-07,0.897831916809082,4,20,100,CLIP
30,power,GEXP-5,0.1125,0.0355505968544673,5.0,669858.4847179909,432701.0617734639,1.3023229896810768e-06,0.0431599617004394,4,20,100,CNN Final FC128
30,power,NEW-MMMD,0.0625,0.0272340418956621,4.0,15268.533736594343,15052.110790487504,1.3363018568265517e-06,0.0441846847534179,4,20,100,CNN Final FC128
60,power,GEXP-5,0.25,0.0487177351846223,5.0,387790.00331106863,292527.102633019,1.240128711095396e-06,0.0814580917358398,4,20,100,CNN Final FC128
60,power,NEW-MMMD,0.2875,0.0509211042767092,5.0,22552.71380671711,22078.524753864214,1.261782317620189e-06,0.0987610816955566,4,20,100,CNN Final FC128
90,power,GEXP-5,0.4625,0.0560959564417429,5.0,261729.0864654199,210086.95466846405,1.2183049159198231e-06,0.1560990810394287,4,20,100,CNN Final FC128
90,power,NEW-MMMD,0.45,0.0559724163531025,5.0,27567.4755693692,26868.192009655795,1.218305024750414e-06,0.2013440132141113,4,20,100,CNN Final FC128
120,power,GEXP-5,0.725,0.0502367811191679,5.0,135187.00023094355,119813.7999418582,1.2219895651482137e-06,0.231795072555542,4,20,100,CNN Final FC128
120,power,NEW-MMMD,0.7,0.0515580046947248,5.0,31094.41804963766,30270.936324705646,1.22198963363788e-06,0.2830080986022949,4,20,100,CNN Final FC128
150,power,GEXP-5,0.8875,0.0355505968544673,5.0,190798.05589342545,162984.04012512678,1.2034810818893904e-06,0.3699440956115722,4,20,100,CNN Final FC128
150,power,NEW-MMMD,0.925,0.0296338414142011,5.0,31741.019000162927,30856.857131150548,1.2034809860671003e-06,0.4347572326660156,4,20,100,CNN Final FC128
30,type1_a,GEXP-5,0.1125,0.0355505968544673,5.0,575549.8999752656,399278.9367619513,1.330467684615646e-06,0.035161018371582,4,20,100,CNN Final FC128
30,type1_a,NEW-MMMD,0.05,0.0245207223136841,4.0,10371.500326540709,10267.429275641722,1.344284805435604e-06,0.0442991256713867,4,20,100,CNN Final FC128
60,type1_a,GEXP-5,0.0375,0.021374819563973,5.0,317787.28549029917,249891.18169508965,1.3144724652572029e-06,0.0805387496948242,4,20,100,CNN Final FC128
60,type1_a,NEW-MMMD,0.025,0.0175654292232631,5.0,27265.807357418627,26588.97336470664,1.3144723931202285e-06,0.1050508022308349,4,20,100,CNN Final FC128
90,type1_a,GEXP-5,0.025,0.0175654292232631,5.0,242634.2228746135,198199.4452939307,1.290769842676311e-06,0.1427409648895263,4,20,100,CNN Final FC128
90,type1_a,NEW-MMMD,0.0125,0.0124999999999999,5.0,27006.749862756715,26330.72779609669,1.2907698227289256e-06,0.1719391345977783,4,20,100,CNN Final FC128
120,type1_a,GEXP-5,0.0125,0.0124999999999999,5.0,236624.44196393003,194505.7133341839,1.2420937634185887e-06,0.2341780662536621,4,20,100,CNN Final FC128
120,type1_a,NEW-MMMD,0.025,0.0175654292232631,5.0,26781.48761865248,26114.427822085563,1.2420938312881618e-06,0.3547730445861816,4,20,100,CNN Final FC128
150,type1_a,GEXP-5,0.0125,0.0125,5.0,77673.73884236641,72190.9306592114,1.2513171281157516e-06,0.3681399822235107,4,20,100,CNN Final FC128
150,type1_a,NEW-MMMD,0.0,0.0,5.0,31256.217261409227,30374.824016347826,1.2533968913529374e-06,0.4447791576385498,4,20,100,CNN Final FC128
30,type1_b,GEXP-5,0.075,0.0296338414142011,5.0,835192.2600055165,496565.29197728576,1.3243989470734745e-06,0.0369131565093994,4,20,100,CNN Final FC128
30,type1_b,NEW-MMMD,0.025,0.0175654292232631,4.0,10342.80484701818,10241.759669025912,1.3483341722877815e-06,0.0419566631317138,4,20,100,CNN Final FC128
60,type1_b,GEXP-5,0.025,0.0175654292232631,5.0,359666.79570605233,271824.8316770787,1.2899529328885489e-06,0.0839262008666992,4,20,100,CNN Final FC128
60,type1_b,NEW-MMMD,0.0125,0.0124999999999999,4.0,17169.121443584063,16578.580365648726,1.296355913411354e-06,0.0984718799591064,4,20,100,CNN Final FC128
90,type1_b,GEXP-5,0.0125,0.0125,5.0,402764.4799038242,294418.4306423487,1.2671227585469729e-06,0.1413590908050537,4,20,100,CNN Final FC128
90,type1_b,NEW-MMMD,0.0,0.0,4.0,9402.17497651232,9313.401081285776,1.2671226735373586e-06,0.172170877456665,4,20,100,CNN Final FC128
120,type1_b,GEXP-5,0.0125,0.0124999999999999,5.0,305943.8446883803,238556.4788857911,1.272578701195979e-06,0.288175106048584,4,20,100,CNN Final FC128
120,type1_b,NEW-MMMD,0.0,0.0,5.0,25519.16626160573,24910.270655539847,1.2725786823388615e-06,0.282891035079956,4,20,100,CNN Final FC128
150,type1_b,GEXP-5,0.0125,0.0124999999999999,5.0,295084.90772715013,231575.52564436628,1.248072840977799e-06,0.3718609809875488,4,20,100,CNN Final FC128
150,type1_b,NEW-MMMD,0.0,0.0,5.0,27067.35275260392,26411.284589844203,1.2480728322275197e-06,0.4230771064758301,4,20,100,CNN Final FC128
30,power,GEXP-5,0.0875,0.0317911997217285,5.0,664416695.4730256,3613438.352378708,1.693893479287268e-07,8.698039054870605,4,20,100,Raw Pixel
30,power,NEW-MMMD,0.0625,0.0272340418956621,3.0,3219.6024503210547,3200.085504389231,1.0055299853331882e-06,8.566717863082886,4,20,100,Raw Pixel
60,power,GEXP-5,0.175,0.0427496391279461,5.0,202512557.47332117,3132168.043990192,1.0120178307972249e-07,31.816812753677368,4,20,100,Raw Pixel
60,power,NEW-MMMD,0.125,0.0372087848617242,3.0,1722.713115245008,1716.9746349588622,5.596006738800965e-07,32.359935998916626,4,20,100,Raw Pixel
90,power,GEXP-5,0.2125,0.0460247250557316,5.0,102230673.35388292,2772203.4936529445,7.866437379489067e-08,83.32015299797058,4,20,100,Raw Pixel
90,power,NEW-MMMD,0.2,0.0450035160370409,3.0,1214.0838773943144,1210.8872519853385,4.061158543800823e-07,85.53221392631531,4,20,100,Raw Pixel
120,power,GEXP-5,0.3125,0.0521492199293575,5.0,66169369.77366333,2496654.2657719366,6.679134013447964e-08,159.39170098304749,4,20,100,Raw Pixel
120,power,NEW-MMMD,0.275,0.0502367811191679,4.0,29559.245139084946,29143.72985695002,7.533081555205476e-08,165.18457889556885,4,20,100,Raw Pixel
150,power,GEXP-5,0.25,0.0487177351846223,5.0,52339451.98901342,2321445.6035355837,5.9161200879143087e-08,251.84061002731323,4,20,100,Raw Pixel
150,power,NEW-MMMD,0.2625,0.0495030685661844,4.0,25625.78511865185,25310.791787579627,6.28375400517414e-08,249.8982889652252,4,20,100,Raw Pixel
30,type1_a,GEXP-5,0.075,0.0296338414142011,5.0,796877459.4466444,3670327.239267205,1.6426357278992657e-07,8.57556414604187,4,20,100,Raw Pixel
30,type1_a,NEW-MMMD,0.0125,0.0125,3.0,3406.811172987904,3385.246621771169,9.87660215607443e-07,8.538964033126831,4,20,100,Raw Pixel
60,type1_a,GEXP-5,0.05,0.0245207223136841,5.0,205719729.30241108,3190110.519172269,9.699039491173337e-08,32.55013918876648,4,20,100,Raw Pixel
60,type1_a,NEW-MMMD,0.0125,0.0124999999999999,3.0,1705.4156090910956,1699.691999265713,5.435653822779059e-07,34.07637310028076,4,20,100,Raw Pixel
90,type1_a,GEXP-5,0.0125,0.0124999999999999,5.0,131091940.88047206,2856515.738181077,7.605934638771922e-08,86.1350200176239,4,20,100,Raw Pixel
90,type1_a,NEW-MMMD,0.0125,0.0124999999999999,3.0,1193.598677072454,1190.757619544785,3.996947041453428e-07,87.57717299461365,4,20,100,Raw Pixel
120,type1_a,GEXP-5,0.025,0.0175654292232631,5.0,94626574.30131689,2646822.7318246206,6.258934336071764e-08,163.59255981445312,4,20,100,Raw Pixel
120,type1_a,NEW-MMMD,0.0125,0.0125,3.0,1103.543584474594,1100.9526362353145,3.048696165442847e-07,165.74109816551208,4,20,100,Raw Pixel
150,type1_a,GEXP-5,0.0,0.0,5.0,60704500.668764606,2376167.2789449133,5.8609716970136106e-08,249.1072540283203,4,20,100,Raw Pixel
150,type1_a,NEW-MMMD,0.0,0.0,4.0,28142.110647216017,27776.33693532028,6.392779878372676e-08,253.8874969482422,4,20,100,Raw Pixel
30,type1_b,GEXP-5,0.0125,0.0124999999999999,5.0,434162782.3893112,3581763.844377364,1.708097807445261e-07,8.622045993804932,4,20,100,Raw Pixel
30,type1_b,NEW-MMMD,0.0,0.0,3.0,2992.928255310734,2975.9323564368324,1.0049419359209286e-06,8.545817136764526,4,20,100,Raw Pixel
60,type1_b,GEXP-5,0.0625,0.0272340418956621,5.0,146251809.7422518,3163457.221693631,9.86058036787638e-08,36.01091718673706,4,20,100,Raw Pixel
60,type1_b,NEW-MMMD,0.0125,0.0124999999999999,3.0,1661.5459965510686,1655.984888108077,5.40034431047833e-07,36.89482021331787,4,20,100,Raw Pixel
90,type1_b,GEXP-5,0.025,0.0175654292232631,5.0,64420764.27943759,2713078.6655899817,7.805567259847635e-08,87.63646626472473,4,20,100,Raw Pixel
90,type1_b,NEW-MMMD,0.0125,0.0124999999999999,4.0,20774.389432187512,20587.506599854012,9.5153949303144e-08,88.16974782943726,4,20,100,Raw Pixel
120,type1_b,GEXP-5,0.025,0.0175654292232631,5.0,49921910.65650125,2440101.845482217,6.659891955009482e-08,165.90509414672852,4,20,100,Raw Pixel
120,type1_b,NEW-MMMD,0.025,0.0175654292232631,4.0,23939.447031375796,23665.84693871889,7.08383696306353e-08,159.69293403625488,4,20,100,Raw Pixel
150,type1_b,GEXP-5,0.025,0.0175654292232631,5.0,31562556.438817415,2259874.33454646,5.9118241963593655e-08,254.56944799423215,4,20,100,Raw Pixel
150,type1_b,NEW-MMMD,0.05,0.0245207223136841,4.0,25930.327764490597,25618.730443414468,6.086167089685074e-08,252.25434708595276,4,20,100,Raw Pixel
